Queries,No of Overlapping Results,Percent Overlap,Spearman Coefficient
Query1,4,0.4,-0.5
Query2,3,0.3,-21.25
Query3,1,0.1,0
Query4,1,0.1,0
Query5,0,0.0,0
Query6,4,0.4,-0.3999999999999999
Query7,2,0.2,0.0
Query8,2,0.2,-9.0
Query9,0,0.0,0
Query10,2,0.2,-105.0
Query11,5,0.5,0.65
Query12,1,0.1,0
Query13,6,0.6,-0.7428571428571429
Query14,5,0.5,-0.3999999999999999
Query15,2,0.2,-7.0
Query16,1,0.1,0
Query17,1,0.1,0
Query18,0,0.0,0
Query19,6,0.6,-0.2857142857142858
Query20,2,0.2,-9.0
Query21,2,0.2,0.0
Query22,0,0.0,0
Query23,2,0.2,-17.0
Query24,2,0.2,-9.0
Query25,3,0.3,-0.25
Query26,5,0.5,-0.44999999999999996
Query27,1,0.1,0
Query28,2,0.2,-36.0
Query29,1,0.1,0
Query30,1,0.1,0
Query31,3,0.3,-1.0
Query32,2,0.2,-19.0
Query33,1,0.1,0
Query34,3,0.3,-2.5
Query35,1,0.1,1
Query36,1,0.1,0
Query37,4,0.4,-0.5
Query38,3,0.3,-12.0
Query39,2,0.2,-4.0
Query40,0,0.0,0
Query41,3,0.3,-1.75
Query42,1,0.1,0
Query43,4,0.4,-4.4
Query44,1,0.1,0
Query45,0,0.0,0
Query46,2,0.2,-25.0
Query47,0,0.0,0
Query48,1,0.1,0
Query49,3,0.3,-11.75
Query50,3,0.3,-6.25
Query51,4,0.4,-1.7000000000000002
Query52,2,0.2,-1.0
Query53,1,0.1,0
Query54,0,0.0,0
Query55,1,0.1,0
Query56,2,0.2,0.0
Query57,1,0.1,0
Query58,0,0.0,0
Query59,1,0.1,0
Query60,1,0.1,0
Query61,2,0.2,-33.0
Query62,5,0.5,-2.95
Query63,3,0.3,-12.5
Query64,3,0.3,-3.25
Query65,4,0.4,-5.8
Query66,1,0.1,1
Query67,1,0.1,1
Query68,3,0.3,-2.25
Query69,2,0.2,0.0
Query70,2,0.2,-24.0
Query71,0,0.0,0
Query72,3,0.3,0.5
Query73,3,0.3,-4.0
Query74,0,0.0,0
Query75,3,0.3,-3.25
Query76,1,0.1,0
Query77,3,0.3,0.25
Query78,3,0.3,-1.25
Query79,1,0.1,0
Query80,2,0.2,-4.0
Query81,3,0.3,-0.5
Query82,1,0.1,1
Query83,4,0.4,0.30000000000000004
Query84,2,0.2,0.0
Query85,2,0.2,-3.0
Query86,3,0.3,-1.75
Query87,2,0.2,-3.0
Query88,1,0.1,1
Query89,3,0.3,0.75
Query90,3,0.3,-7.75
Query91,3,0.3,-6.5
Query92,1,0.1,0
Query93,3,0.3,-1.75
Query94,4,0.4,-2.0
Query95,0,0.0,0
Query96,1,0.1,1
Query97,1,0.1,1
Query98,2,0.2,-4.0
Query99,0,0.0,0
Query100,2,0.2,-7.0
Averages,2.04,0.20400000000000001,-4.311785714285714
