URL,Size(Byte),Number of outlinks found,Content-type
https://www.latimes.com/,868141,438,text/html
https://www.latimes.com/food/la-fo-bill-addison-dolans-uyghur-cuisine-review-20190228-story.html,345862,226,text/html
https://www.latimes.com/food/story/2024-02-12/zhi-ma-da-bing-scallion-pancake-bread-column,352283,231,text/html
https://www.latimes.com/food/story/2022-01-25/lunar-new-year-longevity-noodles,339408,227,text/html
https://www.latimes.com/california/story/2024-02-08/snoop-dogg-and-master-p-sue-walmart-and-post-foods,327570,217,text/html
https://www.latimes.com/projects/conveyance/assets/processed-images/issue-covers/image-i8.ebf74287.jpg,60846,0,image/jpeg
https://www.latimes.com/projects/conveyance/assets/processed-images/issue-covers/image-i15.cd0031b0.jpg,52968,0,image/jpeg
https://www.latimes.com/sports/dodgers/story/2024-01-08/shohei-ohtani-contract-state-controller-deferrals,330840,228,text/html
https://www.latimes.com/california/story/2023-05-31/california-boxers-pensions,379325,232,text/html
https://www.latimes.com/california/story/2023-05-11/alex-ramos-boxing-california-pension-plan-struggles,362478,228,text/html
https://www.latimes.com/california/story/2023-05-11/california-retired-boxers-pension-plan-failing-to-deliver,554593,246,text/html
https://www.latimes.com/people/melody-gutierrez,288292,209,text/html
https://www.latimes.com/sports/dodgers/story/2024-01-17/dodgers-rule-california-angels-giants-padres-athletics,349675,236,text/html
https://www.latimes.com/sports/story/2023-10-11/mma-retirement-pension-gavin-newsom-california-law-matt-haney,341708,225,text/html
https://www.latimes.com/sports/story/2024-01-17/floyd-mayweather-jr-assault-lawsuit-los-angeles-yard-house,334780,225,text/html
https://www.latimes.com/california/story/2024-01-02/california-retired-boxers-pension-primary-mission-failed,328032,213,text/html
https://www.latimes.com/california/story/2023-05-11/how-to-claim-california-boxing-pension,348443,225,text/html
https://www.latimes.com/california/story/2023-06-22/mexico-joins-effort-to-locate-retired-boxers-owed-california-pensions,355184,227,text/html
https://www.latimes.com/entertainment/movies/la-xpm-2013-mar-08-la-et-mn-indie-focus-spring-breakers-20130310-story.html,330142,222,text/html
https://www.latimes.com/people/mark-olsen,282808,210,text/html
https://www.latimes.com/entertainment-arts/tv/story/2019-11-09/amazon-tom-clancy-jack-ryan-venezuela-maduro,341635,224,text/html
https://www.latimes.com/california/story/2023-12-05/last-porn-movie-theater-los-angeles-tiki,415038,237,text/html
https://www.latimes.com/archives/la-xpm-2011-jan-11-la-et-0111-crazygirls-20110111-story.html,342410,221,text/html
https://www.latimes.com/entertainment-arts/music/story/2023-11-15/travis-scott-astroworld-tragedy-always-think-two-years,364577,233,text/html
https://www.latimes.com/entertainment-arts/movies/story/2024-02-09/out-of-darkness-review-andrew-cumming-prehistoric-horror,326549,219,text/html
https://www.latimes.com/entertainment-arts/movies/story/2024-02-09/the-monk-and-the-gun-review-bhutan,325295,218,text/html
https://www.latimes.com/entertainment-arts/movies/story/2024-02-11/lisa-frankenstein-argylle-super-bowl-weekend-box-office,317447,215,text/html
https://www.latimes.com/delos/story/2024-01-18/latino-sundance-freaky-tales-frida-ponyboi-in-the-summers,330795,208,text/html
https://www.latimes.com/archives/la-xpm-2010-may-14-la-et-trashhumpers-20100514-story.html,317480,217,text/html
https://www.latimes.com/entertainment-arts/story/2023-04-14/minka-kelly-tell-me-everything-crazy-girls,341742,229,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-09-13/harmony-korine-aggro-dr1ft-tiff,349970,227,text/html
https://www.latimes.com/entertainment-arts/story/2024-01-27/gustavo-dudamel-la-phil-frank-gehry-wagner-ring-rheingold,342181,226,text/html
https://www.latimes.com/entertainment-arts/awards/story/2024-01-23/oscar-nominations-2024-snubs-surprises,358522,234,text/html
https://www.latimes.com/lifestyle/story/2024-02-12/the-internet-told-my-dad-ai-obituary-hoax,396507,237,text/html
https://www.latimes.com/entertainment-arts/movies/story/2024-01-23/oscar-2024-nominations-lily-gladstone-historic-native-american-killers-of-the-flower-moon,332559,238,text/html
https://www.latimes.com/entertainment-arts/movies/story/2024-01-23/oscars-nominations-2024-full-list,358387,281,text/html
https://www.latimes.com/food/list/best-los-angeles-cocktails-coffee-tea-wine-beer-drinks,482194,241,text/html
https://www.latimes.com/food/story/2022-04-28/ponchos-tlayudas-review-addison,337685,217,text/html
https://www.latimes.com/food/la-fo-bill-addison-hayato-review-20190411-story.html,354429,225,text/html
https://www.latimes.com/food/story/2023-06-13/gilberto-cetina-holbox-los-angeles-times-2023-restaurant-of-the-year,382748,222,text/html
https://www.latimes.com/food/list/los-angeles-hall-of-fame-restaurants-modern-classics,721271,307,text/html
https://www.latimes.com/food/story/2021-07-29/morihiro-mori-onodera-atwater-village-review-bill-addison,339143,219,text/html
